budget,node
Marketing Budget,0
Research Budget,1
Communications Budget,2
Networking Budget,3
Event Budget,4
Promotions Budget,5
Advertising Budget,6
PR,7
Research firm fees,8
Web Research,9
Independent Research,10
Other Research,11
Promotional brochures,12
TV,13
Radio,14
Social media,15
Memberships,16
Affiliations,17
Subscriptions,18
Meal,19
Entertainment and valet services,20
Audio/Visual services,21
Addl services,22
Guest Gifts,23
Product gifts,24
Product Discounts,25
Special Offers,26
Brochures,27
Mailings,28
Postcards,29
TV+Radio,30
Print media,31
Outdoor ads,32
Charity,33
Employee promotions,34
Sponsorships,35
